Day,Date,Vehicle,Runs,1 origin,1 arrival,2 origin,2 arrival,3 origin,3 arrival,4 origin,4 arrival,5 origin,5 arrival,6 origin,6 arrival,1 d time,1 a time,2 d time,2 a time,3 d time,3 a time,4 d time,4 a time,5 d time,5 a time,6 d time,6 a time,Fuel,Receipts,Women,Men,Child,0,500,1000,1500,2000,2500,3000,4000
4,9-Feb,UAL132M,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,9:00,11:20,12:24,14:06,15:40,17:55,18:29,20:00,,,,,70000,2,10,5,0,0,9,3,0,3,0,0,0
4,9-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:30,10:14,11:28,13:00,14:07,17:12,17:42,,,,,,70000,2,8,14,6,0,16,8,0,3,0,1,0
4,9-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:45,9:56,10:21,12:03,13:00,14:37,17:07,18:50,,,,,70000,1,9,11,2,0,9,7,0,4,0,1,0
5,10-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:12,9:58,10:51,12:40,15:00,16:50,17:00,20:00,,,,,70000,2,17,18,2,1,12,8,0,14,0,2,0
5,10-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,8:05,8:30,10:11,11:33,13:42,15:14,17:20,,,,,70000,2,7,9,2,0,9,8,0,1,0,0,0
5,10-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:00,9:12,9:34,11:12,13:28,15:33,16:21,19:03,,,,,70000,1,16,11,2,2,8,11,0,5,0,3,0
5,10-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,5:57,8:55,9:15,11:46,13:26,15:53,16:28,18:41,,,,,70000,2,19,2,3,1,7,13,0,2,0,1,0
5,10-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:50,9:25,10:03,12:03,14:01,16:01,16:59,18:59,,,,,70000,2,10,8,3,0,12,3,1,3,1,1,0
5,10-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:10,10:48,12:20,13:47,15:36,17:50,18:00,19:33,,,,,70000,2,10,10,0,0,5,12,0,3,0,0,0
5,10-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:23,9:44,10:54,12:42,15:30,17:10,17:30,19:25,,,,,70000,1,20,14,2,0,15,8,0,10,0,3,0
6,11-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,9:12,10:30,12:40,13:52,15:16,17:30,18:43,,,,,70000,1,10,7,3,0,13,3,0,3,0,1,0
6,11-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:20,8:59,9:30,11:12,12:40,15:17,16:16,18:37,,,,,70000,2,14,7,2,1,15,5,0,1,0,1,0
6,11-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:30,8:40,10:23,11:45,14:54,15:17,17:47,,,,,70000,1,13,2,0,0,4,10,0,1,0,0,0
6,11-Feb,UAS599E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:44,9:00,10:10,11:47,13:17,14:20,15:47,,,,,,70000,0,3,8,1,0,8,0,4,0,0,0,0
6,11-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:28,9:07,9:23,11:01,12:49,14:53,15:49,17:39,,,,,70000,2,11,8,0,0,9,8,0,1,0,1,0
6,11-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,6:23,8:05,8:30,10:05,11:03,14:05,14:31,16:30,,,,,70000,2,8,13,2,0,11,10,0,1,0,1,0
6,11-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:53,9:25,10:00,11:22,13:40,15:20,16:45,18:15,,,,,70000,1,9,8,0,0,7,4,0,2,0,4,0
7,13-Feb,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:32,8:12,8:30,10:37,12:30,14:19,16:23,18:02,,,,,70000,2,6,10,1,0,6,8,0,3,0,0,0
7,13-Feb,UAW368B,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,,10:00,10:37,12:11,14:30,16:49,17:22,19:30,,,,,70000,2,17,14,2,0,9,6,0,14,0,4,0
7,13-Feb,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:40,9:39,10:01,12:44,13:16,14:59,16:40,18:31,,,,,70000,1,8,9,0,0,10,5,0,1,0,1,0
7,13-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,5:55,8:06,8:34,12:30,14:54,16:10,16:20,19:06,,,,,70000,2,22,2,0,0,6,14,0,4,0,0,0
7,13-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:37,9:22,11:01,13:59,15:33,16:30,17:44,,,,,,70000,2,8,16,6,0,15,7,3,5,0,0,0
7,13-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:22,8:18,9:15,11:40,12:44,14:30,15:32,19:26,,,,,70000,2,14,16,8,0,28,8,0,3,0,0,0
7,13-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:12,8:30,10:18,11:59,13:51,15:25,16:40,18:40,,,,,70000,1,12,9,3,0,17,5,0,0,0,2,0
8,20-Feb,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:19,8:37,9:35,11:19,14:42,16:12,17:03,18:25,,,,,70000,2,14,8,2,0,12,10,0,2,0,0,0
8,20-Feb,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:35,7:59,8:34,10:45,12:11,13:29,15:00,16:41,,,,,70000,1,21,19,1,1,16,12,0,9,0,3,0
8,20-Feb,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:22,8:18,9:01,10:55,12:54,14:39,15:30,17:13,,,,,70000,2,18,14,8,0,19,17,0,4,0,0,0
8,20-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:33,9:34,10:30,12:05,13:35,14:50,16:10,18:08,,,,,70000,1,11,12,6,1,14,10,0,4,0,0,0
