Day,Date,Vehicle,Runs,1 origin,1 arrival,2 origin,2 arrival,3 origin,3 arrival,4 origin,4 arrival,5 origin,5 arrival,6 origin,6 arrival,1 d time,1 a time,2 d time,2 a time,3 d time,3 a time,4 d time,4 a time,5 d time,5 a time,6 d time,6 a time,Fuel,Receipts,Women,Men,Child,0,500,1000,1500,2000,2500,3000,4000
15,28-Feb,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:16,9:44,12:00,16:07,16:20,17:38,18:00,19:10,,,,,70000,1,3,9,5,0,15,1,1,0,0,0,0
20,6-Mar,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:07,10:06,11:00,13:48,15:26,16:39,17:10,18:39,,,,,70000,1,15,12,6,0,22,10,0,1,0,0,0
18,3-Mar,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:17,10:11,11:46,13:10,15:40,16:14,17:30,18:10,,,,,70000,1,7,13,5,0,19,4,0,2,0,0,0
22,8-Mar,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:11,9:00,11:20,12:06,14:00,15:10,17:01,,,,,70000,2,8,3,0,0,8,2,0,1,0,0,0
18,3-Mar,UAW296P,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:03,9:23,10:00,11:48,12:39,15:30,15:50,18:02,,,,,70000,2,12,8,1,0,13,5,0,2,0,1,0
16,1-Mar,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,9:00,10:22,11:44,12:58,14:30,15:40,17:14,,,,,70000,1,11,9,0,0,6,9,0,3,0,2,0
22,8-Mar,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:50,8:41,10:30,12:47,13:50,14:52,14:55,16:33,,,,,70000,1,7,14,0,0,6,9,0,6,0,0,0
21,7-Mar,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,8:02,10:00,11:00,13:03,13:40,15:15,16:45,19:00,,,,,70000,1,11,6,0,0,11,2,0,4,0,0,0
22,8-Mar,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:08,8:32,9:35,11:10,12:00,13:17,15:00,16:15,,,,,70000,1,12,2,1,0,4,9,0,2,0,0,0
17,2-Mar,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,7:30,8:30,10:00,12:00,13:43,15:30,16:00,18:00,,,,,70000,1,11,13,0,0,6,10,0,6,0,2,0
22,8-Mar,UAV638Y,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,8:00,9:07,11:12,13:32,14:17,15:41,16:20,17:14,,,,,70000,1,9,5,1,0,7,3,0,4,0,1,0
17,2-Mar,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:35,9:34,10:20,12:00,13:10,14:46,16:26,18:05,,,,,70000,1,7,6,0,0,7,2,0,3,0,0,1
20,6-Mar,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,8:33,10:10,12:50,14:10,15:09,16:31,17:41,,,,,70000,1,19,6,0,0,6,10,0,4,0,4,1
20,6-Mar,UBA736E,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:30,8:30,,,,,,,,,,,70000,1,21,8,4,0,8,14,0,11,0,0,0
19,4-Mar,UAQ146Q,4,KM,BK,BK,KM,KM,BK,BK,KM,,,,,7:22,8:52,9:30,11:40,14:00,15:33,16:30,18:00,,,,,70000,1,12,6,0,0,10,3,0,5,0,0,0
18,3-Mar,UAZ956Q,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,,8:15,10:00,13:10,,14:41,16:18,17:20,,,,,70000,1,19,8,0,0,5,9,0,8,0,5,0
21,7-Mar,UAW647C,4,BK,KM,KM,BK,BK,KM,KM,BK,,,,,6:34,8:00,8:30,12:10,14:00,15:41,16:30,18:40,,,,,70000,2,8,5,3,3,9,0,4,0,0,0,0
